DAUID,PRUID,Total_Minutes,Total_Kilometres
35410240,ON,17.49180326,19.59136834
35400217,ON,18.72453517,23.34809047
35390779,ON,1.95555898,0.8363352
35410241,ON,17.10127202,20.9458894
35400218,ON,19.33714212,23.94990704
35390780,ON,1.6761301,0.62765366
35410242,ON,15.05377369,17.40394179
35400219,ON,18.23791002,23.82959242
35390781,ON,2.03714308,1.062427
35410243,ON,8.76141354,9.88632237
35400220,ON,19.2769946,23.31384692
35390782,ON,5.94667836,3.66456702
35410244,ON,13.01396557,13.08400285
35400221,ON,13.83296293,16.46851227
35390783,ON,5.29531128,3.18046262
35410245,ON,24.55159343,29.35855284
35400222,ON,12.07367202,13.91007421
35390784,ON,7.06168386,4.30545545
35410246,ON,20.10696694,20.96422517
35400223,ON,21.96381107,29.83675363
35390785,ON,7.39847324,4.60302891
35410247,ON,18.75407569,19.57344296
35410145,ON,42.45862538,54.9959967
35390786,ON,9.34136417,10.97163028
35410248,ON,20.46542641,20.33795106
35410146,ON,32.86111078,41.9555387
35390787,ON,6.54654885,6.10829698
35410249,ON,14.16971803,16.56036733
35410147,ON,17.40608937,18.52115844
35390788,ON,4.73923106,3.78183726
35420159,ON,14.32546984,15.57975232
35410148,ON,4.94895069,4.91864478
35390789,ON,5.00644704,2.74846747
35420160,ON,11.57257352,13.37593928
35410149,ON,3.86312374,3.58284625
35390790,ON,4.01641286,2.3519809
35420161,ON,17.82127809,22.37913923
35410150,ON,10.62258438,12.99899057
35390791,ON,3.2488801,2.55855307
35420162,ON,15.40660593,19.59321424
35410152,ON,10.82342907,13.04989182
35390793,ON,4.3344443,2.38774351
35420163,ON,16.47651619,13.94343917
35410153,ON,5.19228981,4.00275554
35390794,ON,4.43153503,2.80523436
35420164,ON,12.26760125,9.30006673
35410154,ON,3.94964911,2.03405328
35390795,ON,3.58451159,2.22504459
35420165,ON,11.42066147,8.13729824
35410155,ON,3.22980887,3.4702368
35390796,ON,8.21788263,9.18372702
35420166,ON,10.29880389,6.40162091
35410156,ON,15.33067222,18.24645292
35390797,ON,14.90790192,18.85353434
35420167,ON,9.22853635,5.75690985
