ED_ID,Province,PRUID,ED_Name,x,y,lat,lng,Address,City,Postal_Code
563,Quebec,QC,CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC (CHUQ) - HÔPITAL SAINT-FRANÇOIS D'ASSISE (CHU),-71.23632884,46.82746995,46.82746995,-71.23632884,10 RUE DE L'ESPINAY,QUEBEC,G1L3L5
564,Quebec,QC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FERMONT,-67.08950948,52.79618054,52.79618054,-67.08950948,1 RUE DE L'AQUILON,FERMONT,G0G1J0
565,Quebec,QC,CENTRE MARIA-CHAPDELAINE - CENTRE HOSPITALIER DE DOLBEAU,-72.23840305,48.88561807,48.88561807,-72.23840305,2000 BOUL DU SACRÉ COEUR,DOLBEAU-MISTASSINI,G8L2R5
566,Quebec,QC,CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE - HÔPITAL FLEURIMONT,-71.86837597,45.44739898,45.44739898,-71.86837597,3001 12 AV N,SHERBROOKE,J1H5N4
567,Quebec,QC,CH PIERRE LE GARDEUR,-73.50778403,45.7246549,45.7246549,-73.50778403,911 MONTÉE DES PIONNIERS,TERREBONNE,J6V2H2
568,Quebec,QC,COMPLEXE HOSPITALIER DE LA SAGAMIE,-71.05023902,48.42673863,48.42673863,-71.05023902,305 RUE SAINT VALLIER,SAGUENAY,G7H5H6
569,Quebec,QC,CLSC ORLÉANS HÔPITAL SAINTE-ANNE-DE-BEAUPRÉ,-70.89898943,47.04212877,47.04212877,-70.89898943,11000 RUE DES MONTAGNARDS,BEAUPRÉ,G0A1E0
570,Quebec,QC,FORESTVILLE MULTI-SERVICES CENTER FOR HEALTH AND SOCIAL SERVICES,-69.07481689,48.7375251,48.7375251,-69.07481689,2 7E RUE,FORESTVILLE,G0T1E0
571,Quebec,QC,CSSS DE LA RADISSONIE - CENTRE DE SANTE LEBEL,-76.98400361,49.05583231,49.05583231,-76.98400361,950 BOUL QUEVILLON,LEBEL-SUR-QUÉVILLON,J0Y1X0
572,Quebec,QC,CLSC DE SAINT-MARC-DEC-CARRIERES,-72.04934478,46.68114019,46.68114019,-72.04934478,1045 BOULEVARD BONA-DUSSAULT,SAINT-MARC-DES-CARRIERES,G0A4B0
573,Quebec,QC,Haut-Saint-Maurice Multi-Service Health and Social Services Center,-72.78512241,47.42852043,47.42852043,-72.78512241,885 BOUL DUCHARME,LA TUQUE,G9X3C1
574,Quebec,QC,GRACE DART HOSPITAL,-73.54612755,45.57802151,45.57802151,-73.54612755,6085 RUE SHERBROOKE E,MONTRÉAL,H1N1C2
575,Quebec,QC,HÔPITAL CHARLES LEMOYNE,-73.48560921,45.49768927,45.49768927,-73.48560921,3120 BOUL TASCHEREAU,LONGUEUIL,J4V2H1
576,Quebec,QC,HÔPITAL DE GASPÉ,-64.49659221,48.81414148,48.81414148,-64.49659221,215 BOUL DE YORK O,GASPÉ,G4X2W2
577,Quebec,QC,HÔPITAL CITÉ DE LA SANTÉ DE LAVAL,-73.71240264,45.60244424,45.60244424,-73.71240264,1755 BOUL RENÉ LAENNEC,LAVAL,H7M3L9
578,Quebec,QC,HÔPITAL DE HULL,-75.74751297,45.44489707,45.44489707,-75.74751297,116 BOUL LIONEL ÉMOND,GATINEAU,J8Y1W7
579,Quebec,QC,Hôpital de La Baie,-70.88491202,48.34358608,48.34358608,-70.88491202,1000 RUE DU DOCTEUR DESGAGNÉ,LA BAIE,G7B2M4
580,Quebec,QC,Hôpital de Jonquière,-71.23374403,48.41308807,48.41308807,-71.23374403,2230 RUE DE L'HOPITAL,JONQUIERE,G7X7X2
581,Quebec,QC,Hôpital de Roberval,-72.21983026,48.50851914,48.50851914,-72.21983026,450 RUE BRASSARD,ROBERVAL,G8H1B9
582,Quebec,QC,HÔPITAL DU SACRÉ-COEUR DE MONTRÉAL,-73.7160289,45.5342624,45.5342624,-73.7160289,5400 BOUL GOUIN O,MONTRÉAL,H4J1C5
583,Quebec,QC,HÔPITAL JEAN-TALON,-73.60932383,45.54561146,45.54561146,-73.60932383,1385 RUE JEAN TALON E,MONTRÉAL,H2E1S6
584,Quebec,QC,GATINEAU HOSPITAL,-75.69009509,45.49194766,45.49194766,-75.69009509,909 BOUL LA VÉRENDRYE O,GATINEAU,J8P7H2
585,Quebec,QC,HÔPITAL MAISONNEUVE-ROSEMONT,-73.55910266,45.57317195,45.57317195,-73.55910266,5415 BOUL DE L'ASSOMPTION,MONTRÉAL,h1t2m4
586,Quebec,QC,HÔPITAL NOTRE-DAME,-73.56454134,45.5263475,45.5263475,-73.56454134,1560 RUE SHERBROOKE E,MONTRÉAL,H2L4M1
587,Quebec,QC,HÔPITAL NOTRE-DAME DE LA MERCI - PAVILLON LA VISITATION,-73.68793863,45.5469928,45.5469928,-73.68793863,555 BOUL GOUIN O,MONTRÉAL,H3L1K5
588,Quebec,QC,HOPITAL GENERAL JUIF,-73.62887278,45.49720316,45.49720316,-73.62887278,3755 CHEMIN DE LA COTE-STE-CATHERINE,MONTREAL,H3T1E2
589,Quebec,QC,HÔPITAL NOTRE-DAME-DE-FATIMA,-70.0273528,47.37270119,47.37270119,-70.0273528,1201 AV 6E PILOTE,LA POCATIERE,G0R1Z0
590,Quebec,QC,HOPITAL RIVIERE-DES-PRAIRIES,-73.6114468,45.6230848,45.6230848,-73.6114468,7070 BOUL PERRAS,MONTREAL,H1E1A4
591,Quebec,QC,HÔPITAL SAINTE-CROIX,-72.47818734,45.87929905,45.87929905,-72.47818734,570 RUE HERIOT,DRUMMONDVILLE,J2B1C1
592,Quebec,QC,HOPITAL SAINT-LUC,-73.55759483,45.51240785,45.51240785,-73.55759483,1058 RUE SAINT DENIS,MONTRÉAL,H2X3J4
593,Quebec,QC,HOPITAL SANTA CABRINI,-73.5705427,45.57926526,45.57926526,-73.5705427,5655 RUE ST ZOTIQUE E,MONTRÉAL,H1T1P7
594,Quebec,QC,HÔTEL-DIEU DE LÉVIS,-71.17968679,46.81499231,46.81499231,-71.17968679,143 RUE WOLFE,LEVIS,G6V3Z1
595,Quebec,QC,HOTEL-DIEU D'ARTHABASKA,-71.91633119,46.04098709,46.04098709,-71.91633119,5 RUE DES HOSPITALIÈRES,VICTORIAVILLE,G6P6N2
596,Quebec,QC,Hôtel-Dieu de Sherbrooke,-71.87925627,45.39764224,45.39764224,-71.87925627,580 RUE BOWEN SUD,SHERBROOKE,J1G2E8
597,Quebec,QC,HÔTEL-DIEU DE MONTMAGNY,-70.59739723,46.97756586,46.97756586,-70.59739723,350 BOUL TACHÉ O,MONTMAGNY,G5V3R8
598,Quebec,QC,HÔTEL-DIEU DE SAINT-JÉRÔME,-73.99937897,45.76691315,45.76691315,-73.99937897,290 RUE DE MONTIGNY,SAINT-JÉRÔME,J7Z5T3
599,Quebec,QC,HÔTEL-DIEU DE SOREL,-73.09613427,46.04651341,46.04651341,-73.09613427,400 AV DE L'HÔTEL DIEU,SOREL-TRACY,J3P1N5
600,Quebec,QC,MANIWAKI HOSPITAL,-75.98136698,46.39194798,46.39194798,-75.98136698,309 BOUL DESJARDINS,MANIWAKI,J9E2E7
601,Quebec,QC,LANAUDIÈRE HOSPITAL CENTER,-73.45590307,46.03832802,46.03832802,-73.45590307,1000 BOULEVARD SAINTE-ANNE,SAINT-CHARLES-BORROMEE,J6E6J2
602,Quebec,QC,MCGILL UNIVERSITY HEALTH CENTRE - MONTREAL GENERAL CAMPUS,-73.58976307,45.49749556,45.49749556,-73.58976307,1650 AV CEDAR,MONTRÉAL,H3G1A4
603,Quebec,QC,MRC RIMOUSKI-NEIGETTE,-68.53191298,48.44667607,48.44667607,-68.53191298,150 AV ROULEAU,RIMOUSKI,G5L5T1
604,Quebec,QC,MRC LES BASQUES,-69.15975659,48.13351329,48.13351329,-69.15975659,550 RUE NOTRE DAME E,TROIS-PISTOLES,G0L4K0
