CSDUID,Average_Travel_Minutes
2451065,32.0
2451070,29.0
2451075,38.0
2451080,41.0
2451085,37.0
2451090,42.0
2452007,35.0
2452017,20.0
2452030,18.0
2452035,19.0
2452040,25.0
2452045,27.0
2452050,24.0
2452055,23.0
2452062,23.0
2452070,23.0
2452075,24.0
2452080,22.0
2452085,16.0
2452090,38.0
2452095,42.0
2453005,6.0
2453010,5.0
2453015,3.0
2453020,2.0
2453025,2.0
2453032,3.0
2453040,6.0
2453050,6.0
2453052,11.0
2453065,25.0
2453072,17.0
2453085,20.0
2454008,21.0
2454017,19.0
2454025,18.0
2454030,21.0
2454035,19.0
2454048,10.0
2454060,6.0
2454065,6.0
2454072,8.0
2454090,9.0
2454095,9.0
2454100,11.0
2454105,10.0
2454110,13.0
2454115,13.0
2454120,9.0
2454125,9.0
2455008,29.0
2455015,27.0
2455023,35.0
2455030,31.0
2455037,28.0
2455048,28.0
2455057,27.0
2455065,31.0
2456005,37.0
2456010,39.0
2456015,36.0
2456023,31.0
2456030,30.0
2456035,28.0
2456042,28.0
2456050,26.0
2456055,27.0
2456060,28.0
2456065,28.0
2456083,34.0
2456097,32.0
2456105,28.0
2457005,22.0
2457010,23.0
2457020,20.0
2457025,23.0
2457030,24.0
2457033,24.0
2457035,22.0
2457040,22.0
2457045,19.0
2457050,17.0
2457057,23.0
2457068,22.0
2457075,24.0
2458007,7.0
2458012,5.0
2458033,5.0
2458037,6.0
2458227,12.0
2459010,20.0
2459015,24.0
2459020,24.0
2459025,15.0
2459030,17.0
2459035,19.0
2460005,12.0
2460013,12.0
2460020,19.0
2460028,15.0
2460037,13.0
2461005,15.0
2461013,11.0
2461020,7.0
2461025,7.0
2461027,11.0
2461030,10.0
2461035,9.0
2461040,13.0
2461045,13.0
2461050,11.0
2462007,160.0
2462015,79.0
2462020,45.0
2462025,33.0
2462030,35.0
2462037,26.0
2462047,26.0
2462053,24.0
2462055,26.0
2462060,31.0
2462065,36.0
2462070,40.0
2462075,40.0
2462080,47.0
2462085,38.0
2462802,29.0
2462902,
2462904,28.0
2462906,50.0
2462908,96.0
2462910,
2462912,62.0
2462914,
2462916,
2462918,
2462919,
2462920,
2462922,
2463005,17.0
2463013,19.0
2463023,18.0
2463030,25.0
2463035,25.0
2463040,31.0
2463048,34.0
2463055,29.0
2463060,33.0
2463065,30.0
2464008,14.0
2464015,15.0
2465005,10.0
2466007,12.0
2466023,7.0
2466032,14.0
2466047,11.0
2466058,10.0
2466062,7.0
2466072,6.0
2466087,7.0
2466092,5.0
2466097,7.0
2466102,5.0
2466107,6.0
2466112,7.0
2466117,10.0
2466127,12.0
2466142,8.0
2467005,20.0
2467010,18.0
2467015,16.0
2467020,10.0
2467025,5.0
2467030,7.0
2467035,13.0
2467040,11.0
2467045,13.0
2467050,16.0
2467055,18.0
2467802,
2468005,30.0
2468010,26.0
2468015,24.0
2468020,24.0
2468025,20.0
2468030,19.0
2468035,27.0
2468040,29.0
2468045,30.0
2468050,38.0
2468055,34.0
2469005,14.0
2469010,17.0
2469017,18.0
2469025,14.0
2469030,14.0
2469037,6.0
2469045,13.0
2469050,16.0
2469055,25.0
2469060,21.0
2469065,20.0
2469070,33.0
2469075,16.0
2469802,
2470005,9.0
2470012,12.0
2470022,16.0
2470030,14.0
2470035,11.0
2470040,10.0
2470052,7.0
2471005,19.0
2471015,18.0
2471020,19.0
2471025,20.0
2471033,21.0
2471040,21.0
2471045,20.0
2471050,19.0
2471055,16.0
2471060,19.0
2471065,22.0
2471070,24.0
2471075,28.0
2471083,21.0
2471090,23.0
2471095,21.0
2471100,20.0
2471105,21.0
2471110,21.0
2471115,20.0
2471125,19.0
2471133,21.0
2471140,23.0
2472005,8.0
2472010,8.0
2472015,13.0
2472020,18.0
2472025,21.0
2472032,19.0
2472043,5.0
2472802,
2473005,15.0
2473010,15.0
2473015,13.0
2473020,17.0
2473025,24.0
2473030,24.0
2473035,16.0
2474005,15.0
2475005,8.0
2475017,13.0
2475028,12.0
2475040,9.0
2475045,20.0
2476008,20.0
2476020,6.0
2476025,8.0
2476030,7.0
2476035,9.0
2476043,15.0
2476052,21.0
2476055,16.0
2476065,13.0
2477011,28.0
2477012,30.0
2477022,21.0
2477030,22.0
2477035,24.0
2477043,26.0
2477050,20.0
2477055,33.0
2477060,23.0
2477065,33.0
2478005,39.0
2478010,32.0
2478015,26.0
2478020,45.0
2478032,22.0
2478042,25.0
2478047,17.0
2478050,14.0
2478055,10.0
2478060,12.0
2478065,12.0
2478070,11.0
2478075,7.0
2478095,6.0
2478100,4.0
2478102,15.0
2478115,40.0
2478120,24.0
2478127,19.0
2478130,26.0
2478802,
